iter	Logloss
0	0.606724835
1	0.5396752263
2	0.4675525573
3	0.4221682033
4	0.3935678797
5	0.3609804292
6	0.337890492
7	0.3220047657
8	0.3042540545
9	0.2930909325
10	0.2835881412
11	0.2699201575
12	0.2619943587
13	0.2549006302
14	0.2482073604
15	0.2424778746
16	0.2412328449
17	0.2375566083
18	0.2312297479
19	0.2266357419
20	0.2216938991
21	0.2175808525
22	0.2143666655
23	0.2124407447
24	0.209362101
25	0.2045242918
26	0.2012113691
27	0.1961514642
28	0.1932554496
29	0.1880622833
30	0.1856060354
31	0.1836798368
32	0.1810340941
33	0.1794378147
34	0.1763198235
35	0.1734502986
36	0.171587417
37	0.1691835331
38	0.1659718661
39	0.1634764195
40	0.159960678
41	0.1589705633
42	0.1574823058
43	0.1554730668
44	0.1527413472
45	0.149715752
46	0.1471225321
47	0.1436074454
48	0.1398875556
49	0.1383037372
50	0.1366789642
51	0.134472492
52	0.1328380954
53	0.1305798744
54	0.128852417
55	0.1272400157
56	0.1257902325
57	0.1232901825
58	0.1211444479
59	0.1196943969
60	0.1175675819
61	0.1162458019
62	0.1147348051
63	0.1127505675
64	0.1106618698
65	0.1096204031
66	0.1081197341
67	0.1064994851
68	0.1037601658
69	0.1034094915
70	0.1017668802
71	0.1001356782
72	0.09897056368
73	0.09780308792
74	0.09667719186
75	0.09506128834
76	0.09382165578
77	0.09240566419
78	0.09101503115
79	0.09012481291
80	0.08934869824
81	0.08814920681
82	0.08650077171
83	0.08558512546
84	0.08436531543
85	0.08304509803
86	0.08143303897
87	0.08018466088
88	0.07888311515
89	0.07781893384
90	0.07651661426
91	0.07559283759
92	0.07489399409
93	0.07352647247
94	0.0724518243
95	0.07187834989
96	0.07107785886
97	0.07044053169
98	0.06976623817
99	0.06876327554
100	0.06785346295
101	0.06707048778
102	0.06602798922
103	0.06548465041
104	0.06472489578
105	0.06383331833
106	0.06329023748
107	0.06272676859
108	0.06189173694
109	0.06132975623
110	0.06083909397
111	0.060207154
112	0.05961310305
113	0.05920039156
114	0.05867989133
115	0.05824285309
116	0.05701714492
117	0.05633592145
118	0.05557820563
119	0.05455202742
120	0.05411398714
121	0.05377072397
122	0.05342142376
123	0.05296567416
124	0.05250215131
125	0.05187004764
126	0.05148210936
127	0.05120835403
128	0.05090917565
129	0.05039705387
130	0.0499107867
131	0.0493282344
132	0.04883255202
133	0.04809851807
134	0.04782533321
135	0.04734336191
136	0.04704773532
137	0.04672246422
138	0.04641238742
139	0.04591563851
140	0.04545080607
141	0.04494986546
142	0.04450073329
143	0.04406150743
144	0.04381612174
145	0.04331524066
146	0.04303585009
147	0.04268729893
148	0.04246435992
149	0.04206799359
150	0.04182871935
151	0.0416631248
152	0.04127308323
153	0.04085637599
154	0.04053615725
155	0.03990780379
156	0.0395065488
157	0.03929936215
158	0.03910863972
159	0.03865825005
160	0.03848144456
161	0.03824642651
162	0.03786121159
163	0.03759721871
164	0.0373545291
165	0.03692424223
166	0.03679982061
167	0.03647045454
168	0.03610550862
169	0.03574041635
170	0.03555591946
171	0.03536681171
172	0.03524979378
173	0.03498545117
174	0.0346596865
175	0.03455147858
176	0.0342904695
177	0.03412242442
178	0.03394784872
179	0.03356029737
180	0.03337074316
181	0.03309026374
182	0.03281252753
183	0.03260998152
184	0.03244182731
185	0.03238936159
186	0.03203657904
187	0.03183381725
188	0.03173389105
189	0.03153349298
190	0.03139995875
191	0.03127953042
192	0.03118640519
193	0.03105600606
194	0.03078979579
195	0.03058516137
196	0.03042687378
197	0.03039242246
198	0.03031527778
199	0.03018930598
